name,link,subscribers
"RUGRAD - Новости Калининграда, аналитика, видео",https://t.me/rugrad,2629
ТОПОР - Горячие новости,https://t.me/topor,1334775
Москвач • Новости Москвы,https://t.me/moscowach,1611199
Новости криптовалют.Обзоры.Трейдинг.Майнинг | Blockchain Media,https://t.me/cryptohunter1,252
Москва - Новости Москвы,https://t.me/moskva247,8836
Зеркало | Новости,https://t.me/zerkalo_io,170360
Первый канал. Новости,https://t.me/news_1tv,89816
Go31 | Новости Белгорода,https://t.me/belgorod_go31,43676
Новости X5 Group,https://t.me/x5news,11241
First Новости Войны,https://t.me/first_political,176100
NUR.KZ - Новости Казахстана,https://t.me/newsnurkz,78294
☮️ Черногория онлайн — главные новости Черногории и статьи на русском языке,https://t.me/openmonte,2669
Donnews l Новости-на-Дону,https://t.me/donnewsru,6048
Новости спорта,https://t.me/championsli,11754
Директ-ПРО // Новости Power BI,https://t.me/pro_powerbi,906
StopGame.ru - Игровые новости,https://t.me/stopgamenews,29263
Новости Правительства РФ,https://t.me/governmentru,9705
Informburo.kz – Новости Казахстана,https://t.me/informburo_kz,30186
Новости Таганрога,https://t.me/taganrogonline,7758
Новости Уфы и РБ,https://t.me/bashnews,457
Новости Наро-Фоминска,https://t.me/narofominsk,8658
24KG Новости Кыргызстана,https://t.me/news24kg,18053
Privet-Rostov.ru - новости Ростов-на-Дону,https://t.me/privet_rostov_ru,139128
Москва Новости | МОСКВА LIFE STYLE,https://t.me/moskvago,1008
⚡️НОВОСТИ,https://t.me/Novosty,93638
dev.by: главные ИТ-новости Беларуси,https://t.me/devby,31420
Office Life Бизнес-новости,https://t.me/officelife_media,6874
"Новости ЖК ""Испанские кварталы"" 1 и 2",https://t.me/ikzhk,4156
ХКС | Новости края Z,https://t.me/todaykhv,1541
Новости Бизнеса | Бизнес сообщество,https://t.me/novostibussines,1851
Новости Ростова | 161.RU,https://t.me/news161ru,201896
Unity Новости,https://t.me/unity_news,4995
Новости КС 2 | Counter Strike 2,https://t.me/csgo_ru,26466
Байки лаовая. Китай. Новости,https://t.me/cn_laowai,14064
Питерач • Новости Питера,https://t.me/piterach,246681
РАНХиГС. Новости,https://t.me/mainranepa,16147
Логово Футбола 🏆 Новости футбола,https://t.me/football_logovo,10709
Новости Bitbanker.org,https://t.me/bitbanker_news,751
Новости. Как есть,https://t.me/nourlnews,56264
Новости Швейцарии / Aboutswiss🇨🇭,https://t.me/aboutswisslive,7754
Новости Россия Сегодня,https://t.me/rossiya24online,2253
БИТКОИН $ КРИПТОВАЛЮТА $ НОВОСТИ $ КУРСЫ,https://t.me/nft_defipolkadot,1113
IT в ЛЭТИ | НОВОСТИ,https://t.me/newsfkti,1686
Афиша Екатеринбурга | Новости,https://t.me/kudaekb,71336
Фишки и новости Telegram,https://t.me/teleggid_com,4806
СТРИНГЕР | МОСКВА | НОВОСТИ,https://t.me/stringernews,95103
Москва | Новости,https://t.me/imMoscow,4386
HEAD SHOT | Новости и обзоры в игровой индустрии,https://t.me/headshotts,6603
Москва | Новости 24,https://t.me/msknews24,31165
РБК Тюмень | Новости,https://t.me/rbc_tyumen,4670
Новости Локомотива,https://t.me/lokomotivnews,10637
Новости Израиля,https://t.me/israelinfo_co_il,7599
Новости Севастополя,https://t.me/news_sev,1469
CrypTOOru - Новости,https://t.me/cryptooru,23104
ИБХФ РАН. Новости,https://t.me/ibcp_ras_news,1026
"Голод, холод и покой | Новости здравоохранения",https://t.me/Caduceusmed,6481
ЖИВОВ Z | НОВОСТИ И МНЕНИЯ,https://t.me/Zhivoff22,13010
В курсе | Новости Ставрополья,https://t.me/stavropolskiy,6582
Newslab — новости Красноярского края,https://t.me/newslablive,7437
Новости Перми,https://t.me/permnews_ru,3551
♻️TrandInvest.ru | Новости♻️,https://t.me/trandinvest,1005
Кнопка – новости бизнеса и бухгалтерия для ИП и ООО,https://t.me/knopkanews,5160
РИА Новости,https://t.me/rian_ru,3222006
iVideos | Новости фильмов и сериалов | Трейлеры,https://t.me/ivideosnews,2169
НГС — новости Новосибирска,https://t.me/ngs_news,78390
Америка Новости США Нью-Йорк Калифорния,https://t.me/russianus,14082
КГВ: Новости Калужской области,https://t.me/kgv_info,707
Вечерняя Москва / Афиша Новости,https://t.me/moscowes,255653
Новости с Останиной,https://t.me/ninaostanina,100879
Лиговка • Новости Петербурга,https://t.me/live_ligovka,37248
Украина новости,https://t.me/ukrainetopnews,24271
Новости Россия 24/7,https://t.me/novostirussia24,35370
РИА Новости: дела арбитражные,https://t.me/zarbitrazhy,3371
Новости TON / ТОН • купить • продать • обмен • биржа,https://t.me/cryptobot_ton,3887
ND - Новости Дня,https://t.me/ndnews24,284548
Новости АТМ АЛЬЯНС,https://t.me/atm_alliance,883
РИА Новости: США,https://t.me/rianovostiAmerica,59155
ВСЯ УФА|НОВОСТИ,https://t.me/vsyaufa,9624
Израиль-Все новости.,https://t.me/Israel_novosti,1434
"Это Митрохин | Литература, культура, новости",https://t.me/TheMitrokhin,24621
🇯🇵 Япония Сегодня 🇯🇵 Новости,https://t.me/japan_today_news,928
Московские новости,https://t.me/mnews_ru,181637
Источник Онлайн − Эксклюзивные новости Кирова,https://t.me/istochnikonline,5286
Smartpress.by / Новости,https://t.me/smartpress,29463
PrimeNews.by - новости,https://t.me/RechitsaPrime,2116
NEWS.ru | Новости,https://t.me/nwsru,200986
ИА41 🌋 новости Камчатки,https://t.me/kamkrab,4484
TOMSK.RU | СМИ. Новости и истории Томска,https://t.me/news_tomsk_ru,2229
Испания: главные новости,https://t.me/noticiaru,51386
FreshNews | Новости | Москва,https://t.me/FreshWorld_news,24364
Новости | NEWS,https://t.me/Da_center,876
Новости KDE,https://t.me/kde_ru_news,2352
LIVEU: новости Европы,https://t.me/liveu_news,14174
Криптопатолог | Новости | Инвестиции,https://t.me/criptopatolog,79831
ЧП Пермь | новости,https://t.me/chp_59_perm,116938
INSIDE | Новости футбола,https://t.me/insidenews_rus,903
Profit One | Технический анализ | Новости криптовалют,https://t.me/ProfitOneInvest,1992
АСТВ.ру - новости Сахалина и Курил,https://t.me/astv_ru,70662
Вечерний Питер | Афиша Новости,https://t.me/piterve,189844
Новости Санкт-Петербурга,https://t.me/novostisanktpeterburg,31031
Москва🔻Новости,https://t.me/msk2day,3717
Черногория - новости,https://t.me/Villaedelweissmontenegro,38792
Спорт Тайм | Новости Лица,https://t.me/sportazarto,204567
ZabNews.ru | Новости Читы и Забайкалья,https://t.me/zabnews_ru,8250
РИА Новости Спорт,https://t.me/sportrian,31427
Новости Чебоксары,https://t.me/cheb_chp,3774
Россия|Новости|Важно🇷🇺,https://t.me/russia_news07,5250
MaxNews | Новости ЭДО,https://t.me/Max_News_Max,1498
Актуальные Новости,https://t.me/actual_novosti24,1243
Зa!ТВ. Новости Запорожской области,https://t.me/za_tv_ru,22552
"Турция Без Воды | Аренда, переезд, новости, Анталья, Мерсин, Аланья, Стамбул, ВНЖ",https://t.me/victoria_turkey,8287
Про Авито | Новости и промокоды,https://t.me/avitoplace,30144
Новости знаменитостей,https://t.me/zvezdnie_novosti,6548
Оперативные новости и Сводки СВО. Часов Яр,https://t.me/voyna24na,9411
ИНТЕРНЕТ РЕВИЗОРРО | НОВОСТИ,https://t.me/knigajalobyy,125549
Москва | Новости | Политика,https://t.me/Moscow_polit,25994
Розовые очки 🕶 Новости,https://t.me/rozovyeochki,3378
Dubai Travel | Путешествие Дубай Новости,https://t.me/Dubai_traveling,4534
Путешествия 🌍😍 Новости Туризма,https://t.me/tourism_travels,77685
PAVLOVA|| НОВОСТИ|| ГЕОПОЛИТИКА||,https://t.me/Pavlova_Maria_live,15719
Владивосток Новости,https://t.me/vladivostok_telegram,1789
Сербия - Новости (Сербии),https://t.me/serbia_news,24055
MigrateNow Новости,https://t.me/MigrateNowNews,5819
Cryptovka | Новости Крипторынка и Блокчейна,https://t.me/CryptovkaFeed,1797
KUBANTRIP | Краснодар | Новости | Фото | Видео,https://t.me/KubanTripOF,1017
Новости правда,https://t.me/newsprav_da,177826
Новости Москвы,https://t.me/moskownovosti,20676
"Болгария: жизнь, новости и соседи",https://t.me/covid19bulgaria,6640
Санкт-Петербург Новости,https://t.me/sanktpeterburg_novosti,8794
"Анталья здесь : новости, чат, общение",https://t.me/mirturkey,2147
Про Город Йошкар-Ола | Новости Марий Эл,https://t.me/progorod12,8903
ЛИПЕЦК НОВОСТИ 18+,https://t.me/lipetsknovosti,3322
Хорошие новости!,https://t.me/horochienovosti,205
AngarskNews - Новости Ангарска,https://t.me/AngarskNews,8291
Дубач • Новости Дубая,https://t.me/dubai_media,50298
«Жизнь в Иваново» - новости нашего города | Ивановская область 🇷🇺,https://t.me/life_in_ivanovo,2421
Золотой клон | Новости,https://t.me/GoldenClone_ru,820
Новости 🇷🇺,https://t.me/novosti44rus,161
📈 КРИПТА | НОВОСТИ 📈,https://t.me/kripta,446
"ВТ - новости страхования, экономика, общество.",https://t.me/vottak_me,15572
Новости Сербии на Русском,https://t.me/serbianewsrus,307
Черногория ⚡️ Новости,https://t.me/crnagora_news,4083
"Офисный Платон - новости, трейдинг, акции, биткоин ¹ ⁸ ⁺",https://t.me/platonoffice,3324
Новости Иркутской области,https://t.me/rosnews1,350
Новости 24\7,https://t.me/Novosti_new24,5257
ЭХО / Новости,https://t.me/echoonline_news,78337
Спортивное плавание новости,https://t.me/swimskills,4886
Община НОВОСТИ,https://t.me/obshinanews,21047
Новости Дубая и ОАЭ,https://t.me/dubaiecho,2989
Svetlana Volodina - новости Болгария,https://t.me/svetlana_volodina7,363
ЧУЖИЕ НОВОСТИ,https://t.me/CHUZHOYNEWS,3195
Новости Москвы / Москвир,https://t.me/Moskvir,299343
Информатор Украина | Новости 🇺🇦,https://t.me/informator_ukraina,6058
Кремль. Новости,https://t.me/news_kremlin,228709
ПроСМИсь ДНР | Новости мира,https://t.me/prosmi_dnr,525
ЦА | Новости Центральной Азии,https://t.me/centralasianow,13233
Pro Крипту - Новости | Котировки,https://t.me/procryptu24,64427
🌋 КАМЧАТСКИЙ КРАЙ / Камчатка Новости,https://t.me/kam_kray,1027
Хорватия - Новости,https://t.me/croatia_news_hr,1054
КАМЧАТКА СЕГОДНЯ / Новости Камчатки,https://t.me/kamtoday41,1847
Новости Шерегеша,https://t.me/dirsheregesh,8995
